,SEX,AGEGRP,REGION,REFILL_COUNT,ADMTYP,Total Knee Arthrolplasty,OSTEOARTHROSIS secondary lower leg,Removal of Foreign Body from Eye,Total Knee Replacement,OSTEOARTHROSIS primary lower leg,OSTEOARTHROSIS generalized lower leg,TOTAL HIP ANTHROPLASTY,FASCIOLOPSIASIS,TOTAL HIP REPLACEMENT,Medicine
SEX,0.23161862846296621,0.004251787490027465,-0.004825145475788125,-0.05436631540738896,-0.004333004382233586,0.0006925365910835371,0.0011327260971653438,5.595949742308626e-06,0.0009716534897174481,0.0009553193661452637,-0.0011344653788420268,1.618288168725461e-05,1.618288168725461e-05,1.618288168725461e-05,0.022206240996381462
AGEGRP,0.004251787490027465,1.0405205367574502,0.003695784510562029,0.12928610049267,-0.024326690033537903,0.017733867217187147,0.015543317566366819,0.018467012254373704,0.01903700510819465,0.0071251942512959585,0.007793494330319824,0.0002272409321037386,0.0002272409321037386,0.0002272409321037386,-0.0018667029647189502
REGION,-0.004825145475788125,0.003695784510562029,0.6406824865678292,-0.5181916310302958,0.012874745251950105,0.0005535150504580966,0.0006255591223433521,0.0002468116320133562,0.0006122498364697133,0.001004026815186194,-0.0007276549567637087,4.248384547616685e-05,4.248384547616685e-05,4.248384547616685e-05,0.026462595991334076
REFILL_COUNT,-0.05436631540738896,0.12928610049267,-0.5181916310302958,199.13191858649338,-0.2872037114758565,0.06463167685658913,0.02615840318817902,0.066143278999686,0.06401606188817943,-0.03432059498557528,0.093258589593802,-0.0027437697796027674,-0.0027437697796027674,-0.0027437697796027674,-1.8862432347614357
ADMTYP,-0.004333004382233586,-0.024326690033537903,0.012874745251950105,-0.2872037114758565,0.10475662533982154,-0.0015791770172831616,-0.0013841581687632598,-0.0016457688192167907,-0.0017646827512411295,-0.0005089516290641527,-0.0009132589979468938,-2.853934368584019e-05,-2.853934368584019e-05,-2.853934368584019e-05,0.08153690491044613
Total Knee Arthrolplasty,0.0006925365910835371,0.017733867217187147,0.0005535150504580966,0.06463167685658913,-0.0015791770172831616,0.028038551556468005,0.020140791070679183,0.024263947337575576,0.027679745308665744,0.007992952128162392,0.011866861768698214,-1.506369173879011e-05,-1.506369173879011e-05,-1.506369173879011e-05,-0.0021843562956325156
OSTEOARTHROSIS secondary lower leg,0.0011327260971653438,0.015543317566366819,0.0006255591223433521,0.02615840318817902,-0.0013841581687632598,0.020140791070679183,0.02466618269263494,0.01837070142205176,0.022142106875078036,0.005852024939786815,0.008795683556604181,-1.3203416554180425e-05,-1.3203416554180425e-05,-1.3203416554180425e-05,-0.0014116766297258346
Removal of Foreign Body from Eye,5.595949742308626e-06,0.018467012254373704,0.0002468116320133562,0.066143278999686,-0.0016457688192167907,0.024263947337575576,0.01837070142205176,0.02918426933154868,0.02468368894081531,0.007546803691814391,0.01167260669169724,-1.5698907655486034e-05,-1.5698907655486034e-05,-1.5698907655486034e-05,-0.0023697183497997966
Total Knee Replacement,0.0009716534897174481,0.01903700510819465,0.0006122498364697133,0.06401606188817943,-0.0017646827512411295,0.027679745308665744,0.022142106875078036,0.02468368894081531,0.03122282088801675,0.008483180011872494,0.013375590315982133,-1.6833221792443213e-05,-1.6833221792443213e-05,-1.6833221792443213e-05,-0.002607546213848462
OSTEOARTHROSIS primary lower leg,0.0009553193661452637,0.0071251942512959585,0.001004026815186194,-0.03432059498557528,-0.0005089516290641527,0.007992952128162392,0.005852024939786815,0.007546803691814391,0.008483180011872494,0.009218578553144523,-0.00015535566419764242,-4.85486450617633e-06,-4.85486450617633e-06,-4.85486450617633e-06,0.00456519092397449
OSTEOARTHROSIS generalized lower leg,-0.0011344653788420268,0.007793494330319824,-0.0007276549567637087,0.093258589593802,-0.0009132589979468938,0.011866861768698214,0.008795683556604181,0.01167260669169724,0.013375590315982133,-0.00015535566419764242,0.016418335053709814,-8.711532571830522e-06,-8.711532571830522e-06,-8.711532571830522e-06,-0.008505359634297124
TOTAL HIP ANTHROPLASTY,1.618288168725461e-05,0.0002272409321037386,4.248384547616685e-05,-0.0027437697796027674,-2.853934368584019e-05,-1.506369173879011e-05,-1.3203416554180425e-05,-1.5698907655486034e-05,-1.6833221792443213e-05,-4.85486450617633e-06,-8.711532571830522e-06,0.0005215122676073945,0.0005215122676073945,0.0005215122676073945,0.000777776517428736
FASCIOLOPSIASIS,1.618288168725461e-05,0.0002272409321037386,4.248384547616685e-05,-0.0027437697796027674,-2.853934368584019e-05,-1.506369173879011e-05,-1.3203416554180425e-05,-1.5698907655486034e-05,-1.6833221792443213e-05,-4.85486450617633e-06,-8.711532571830522e-06,0.0005215122676073945,0.0005215122676073945,0.0005215122676073945,0.000777776517428736
TOTAL HIP REPLACEMENT,1.618288168725461e-05,0.0002272409321037386,4.248384547616685e-05,-0.0027437697796027674,-2.853934368584019e-05,-1.506369173879011e-05,-1.3203416554180425e-05,-1.5698907655486034e-05,-1.6833221792443213e-05,-4.85486450617633e-06,-8.711532571830522e-06,0.0005215122676073945,0.0005215122676073945,0.0005215122676073945,0.000777776517428736
Medicine,0.022206240996381462,-0.0018667029647189502,0.026462595991334076,-1.8862432347614357,0.08153690491044613,-0.0021843562956325156,-0.0014116766297258346,-0.0023697183497997966,-0.002607546213848462,0.00456519092397449,-0.008505359634297124,0.000777776517428736,0.000777776517428736,0.000777776517428736,0.3607257795573916
